st00001,1234,,wk-spenders01,2018-01-08_122652
st00002,1234,,wk-spenders01,2018-01-08_122652
st00003,1234,,wk-spenders01,2018-01-08_122652
st00004,1234,,wk-spenders01,2018-01-08_122652
st00005,1234,,wk-spenders01,2018-01-08_122652
st00006,1234,,wk-spenders01,2018-01-08_122652
st00007,1234,,wk-spenders01,2018-01-08_122652
st00008,1234,,wk-spenders01,2018-01-08_122652
st00009,1234,,wk-spenders01,2018-01-08_122652
st00010,1234,,wk-spenders01,2018-01-08_122652
st00011,1234,,wk-spenders01,2018-01-08_122652
st00012,1234,,wk-spenders01,2018-01-08_122652
