straw,intended length (in.),measured length (in), measured - intended (in) ,worker id1, worker id2, time (yyyy-mm-dd_HHMMSS)
st00000,47.5234,48.125,0.6016,worekjrek,ewrjwekr,2018-05-02_102226
st00001,46.9002,47.7813,0.8811,worekjrek,ewrjwekr,2018-05-02_102226
st00002,46.2479,47.0,0.7521,worekjrek,ewrjwekr,2018-05-02_102226
,45.5651,,,worekjrek,ewrjwekr,2018-05-02_102226
,44.8505,,,worekjrek,ewrjwekr,2018-05-02_102226
,44.1025,,,worekjrek,ewrjwekr,2018-05-02_102226
,43.3193,,,worekjrek,ewrjwekr,2018-05-02_102226
,42.4991,,,worekjrek,ewrjwekr,2018-05-02_102226
,41.6395,,,worekjrek,ewrjwekr,2018-05-02_102226
,40.7382,,,worekjrek,ewrjwekr,2018-05-02_102226
,39.7922,,,worekjrek,ewrjwekr,2018-05-02_102226
,38.7983,,,worekjrek,ewrjwekr,2018-05-02_102226
,37.7526,,,worekjrek,ewrjwekr,2018-05-02_102226
,36.6507,,,worekjrek,ewrjwekr,2018-05-02_102226
,35.4874,,,worekjrek,ewrjwekr,2018-05-02_102226
,34.2563,,,worekjrek,ewrjwekr,2018-05-02_102226
,32.9498,,,worekjrek,ewrjwekr,2018-05-02_102226
,31.5584,,,worekjrek,ewrjwekr,2018-05-02_102226
,30.0703,,,worekjrek,ewrjwekr,2018-05-02_102226
,28.4702,,,worekjrek,ewrjwekr,2018-05-02_102226
,26.7378,,,worekjrek,ewrjwekr,2018-05-02_102226
,24.8452,,,worekjrek,ewrjwekr,2018-05-02_102226
,22.7522,,,worekjrek,ewrjwekr,2018-05-02_102226
,20.8654,,,worekjrek,ewrjwekr,2018-05-02_102226
