straw,intended length (in.),measured length (in), measured - intended (in) ,worker id1, worker id2, time (yyyy-mm-dd_HHMMSS)
st99990,47.5234,1234.3438,1186.8204,jkljkl,jkljkljlk,2018-05-02_102514
st99991,46.9002,123456.5156,123409.6154,jkljkl,jkljkljlk,2018-05-02_102514
,46.2479,,,jkljkl,jkljkljlk,2018-05-02_102514
,45.5651,,,jkljkl,jkljkljlk,2018-05-02_102514
,44.8505,,,jkljkl,jkljkljlk,2018-05-02_102514
,44.1025,,,jkljkl,jkljkljlk,2018-05-02_102514
,43.3193,,,jkljkl,jkljkljlk,2018-05-02_102514
,42.4991,,,jkljkl,jkljkljlk,2018-05-02_102514
,41.6395,,,jkljkl,jkljkljlk,2018-05-02_102514
,40.7382,,,jkljkl,jkljkljlk,2018-05-02_102514
,39.7922,,,jkljkl,jkljkljlk,2018-05-02_102514
,38.7983,,,jkljkl,jkljkljlk,2018-05-02_102514
,37.7526,,,jkljkl,jkljkljlk,2018-05-02_102514
,36.6507,,,jkljkl,jkljkljlk,2018-05-02_102514
,35.4874,,,jkljkl,jkljkljlk,2018-05-02_102514
,34.2563,,,jkljkl,jkljkljlk,2018-05-02_102514
,32.9498,,,jkljkl,jkljkljlk,2018-05-02_102514
,31.5584,,,jkljkl,jkljkljlk,2018-05-02_102514
,30.0703,,,jkljkl,jkljkljlk,2018-05-02_102514
,28.4702,,,jkljkl,jkljkljlk,2018-05-02_102514
,26.7378,,,jkljkl,jkljkljlk,2018-05-02_102514
,24.8452,,,jkljkl,jkljkljlk,2018-05-02_102514
,22.7522,,,jkljkl,jkljkljlk,2018-05-02_102514
,20.8654,,,jkljkl,jkljkljlk,2018-05-02_102514
