straw,intended length (in.),measured length (in), measured - intended (in) ,worker id1, worker id2, time (yyyy-mm-dd_HHMMSS)
st99900,47.5234,98.4688,50.9454,wk-spenders01,worker2,2018-05-02_101345
st99901,46.9002,99.8594,52.9592,wk-spenders01,worker2,2018-05-02_101345
st99902,46.2479,80.0313,33.7834,wk-spenders01,worker2,2018-05-02_101345
,45.5651,,,wk-spenders01,worker2,2018-05-02_101345
,44.8505,,,wk-spenders01,worker2,2018-05-02_101345
,44.1025,,,wk-spenders01,worker2,2018-05-02_101345
,43.3193,,,wk-spenders01,worker2,2018-05-02_101345
,42.4991,,,wk-spenders01,worker2,2018-05-02_101345
,41.6395,,,wk-spenders01,worker2,2018-05-02_101345
,40.7382,,,wk-spenders01,worker2,2018-05-02_101345
,39.7922,,,wk-spenders01,worker2,2018-05-02_101345
,38.7983,,,wk-spenders01,worker2,2018-05-02_101345
,37.7526,,,wk-spenders01,worker2,2018-05-02_101345
,36.6507,,,wk-spenders01,worker2,2018-05-02_101345
,35.4874,,,wk-spenders01,worker2,2018-05-02_101345
,34.2563,,,wk-spenders01,worker2,2018-05-02_101345
,32.9498,,,wk-spenders01,worker2,2018-05-02_101345
,31.5584,,,wk-spenders01,worker2,2018-05-02_101345
,30.0703,,,wk-spenders01,worker2,2018-05-02_101345
,28.4702,,,wk-spenders01,worker2,2018-05-02_101345
,26.7378,,,wk-spenders01,worker2,2018-05-02_101345
,24.8452,,,wk-spenders01,worker2,2018-05-02_101345
,22.7522,,,wk-spenders01,worker2,2018-05-02_101345
,20.8654,,,wk-spenders01,worker2,2018-05-02_101345
